49.195   0.60051  -0.70234   0.22919   0.77881   0.12414   0.26029 
47.022   0.27913  -0.30745  -0.44818  -0.02748   0.48304   0.38488 
46.030  -0.24160   0.74147   0.85569   0.63390  -0.33149   0.30237 
44.792   0.39314  -0.60849  -0.78442  -0.64110  -0.17176   0.53398 
44.497  -0.97027   0.00909  -0.77337   0.07249   0.87425  -0.11698 
44.206   1.41765   0.18108   0.51224   0.12052  -0.06907  -0.53473 
43.366   0.87317  -0.42681   0.25460  -0.06229  -0.15289   0.42320 
42.310  -0.51855  -0.13623   0.06263  -0.64761  -0.03892  -1.00180 
42.057  -0.11603   0.13568  -0.30071  -0.49103   0.45523  -0.12976 
40.850   0.05097   0.33378  -0.43942   0.44981   0.28255  -0.44839 
40.393   0.40486  -0.11728   0.71824   0.39168   0.28947   0.30390 
38.696   0.12605   0.39142   0.68862  -0.43041   0.01047   0.30814 
37.730   0.46891  -0.28116   0.20238   0.41320   0.88141  -0.22550 
37.361  -0.69006   0.35346  -0.00027  -0.07667  -0.36669   0.19752 
36.481   0.58372   0.44303  -1.00328  -0.13419  -0.23555   0.48086 
35.497  -0.68294   1.76915   0.59091   0.04930  -0.07820   0.29972 
35.339  -0.70742  -0.16380  -0.14020  -0.18236  -0.60804   0.14907 
34.581  -0.11727   0.11029  -0.24254  -0.22262   0.25843   0.80719 
34.290   0.47184   0.37293   0.97274   0.09644   0.27706  -0.48441 
34.147  -0.48623  -0.29122  -0.09234   0.47197   0.40088   0.24399 
33.059  -0.71684   1.54640  -1.06800  -0.33343   0.04536   0.29456 
32.674  -3.00699  -0.02708  -3.25996   0.02104  -0.33165  -0.00323 
32.549   1.13962  -0.20038   0.39293  -0.11102   0.65171   0.20152 
32.425   0.02876  -0.15625  -0.47318   0.87796  -0.32496  -0.27264 
31.823   0.03703   0.61385  -1.71541  -0.23092   0.59582   0.00337 
30.920  -0.15479   0.11719  -0.74161  -0.21649   0.79973   0.25525 
30.812  -0.11998   0.05367  -0.11835  -0.90403   0.18051   0.31883 
30.599  -0.02612  -0.01677  -0.07675  -0.19365  -0.58637  -0.47298 
30.287   0.36618  -0.19164  -0.47406   0.14457   0.24726  -0.02437 
30.084   0.10582  -0.03974  -0.17045  -0.01804  -0.18856  -0.13687 
29.689  -0.33082  -0.04628  -0.08298   0.69080   0.73901  -0.14337 
29.401  -0.48190  -0.03015  -0.40632  -0.79683   0.25835   0.23318 
29.307   0.24861  -0.65600   0.14281  -0.28299   0.45893   0.62385 
29.214  -1.65648  -1.09417  -0.95249   0.15304   0.04341  -0.13305 
28.671   1.62584   0.47776  -1.19924  -0.30199   0.13532  -0.44871 
28.583   0.80039   0.30908   0.32229   0.52745   0.14269   0.50310 
28.496  -0.15137   0.04680  -0.71082   0.41105   0.38657   0.04664 
28.323  -0.41169   1.41227   1.98952  -0.03428  -0.31582   0.40638 
28.070  -2.33375   2.64873  -1.53654  -0.11313  -0.50227  -0.12102 
27.347   0.10902  -0.23186   0.55481   0.30541   0.35666  -0.07629 
26.966  -0.23728  -0.03855  -0.13448  -0.51363  -0.34930   0.58889 
26.818   1.11219   1.08174  -0.33175   0.30020   0.19162   0.41088 
26.600   1.00441   1.38232  -0.00146   0.19875   0.37617   0.38914 
26.457  -0.82296  -0.20952   0.52561  -0.54753  -0.46391  -0.09770 
26.386   0.52848  -0.48427  -0.62518   0.41672  -0.23166   0.01773 
26.041   0.27269   0.69193  -0.03745  -0.32261   0.56934  -0.39372 
25.973  -0.10319  -0.25853  -0.30888   0.77852   0.10281  -0.86888 
25.906   0.71964  -2.11143  -0.20933   0.05883  -0.43341  -0.24305 
25.707  -0.18607   0.38721  -0.27880   0.44283  -0.47172   0.87556 
25.642  -1.13228   1.11909   0.48950   0.51636  -0.05969   0.24152 
25.513  -0.49359   0.48146   0.01982   0.25841   0.52313   0.41270 
25.322  -0.40364   0.63062  -0.01619   0.30775  -0.46476   0.78648 
25.074   0.27593   0.40956  -0.16189   0.08880   0.44352  -0.30803 
24.832  -0.07597   0.92662  -0.41287   0.04454   0.61961   0.46082 
24.424   0.48361  -0.32082   0.16349   0.18031  -0.40537   0.04049 
24.199   0.26147   0.20570   0.91642  -0.06297  -0.32214  -0.64756 
24.144  -0.12056   0.07533   0.34881  -0.99537  -0.97655  -0.14654 
24.089  -0.50688  -1.40728  -0.34075   0.10941   0.00153  -0.12291 
23.872   0.13083   0.16704  -0.23267   0.63986  -0.39675   0.04790 
23.819   1.35958   1.14311  -3.48207  -0.01889   0.17240  -0.14068 
23.713   0.23270  -0.27955   0.64614   0.45176  -0.15572  -0.54482 
23.660  -0.53631   0.34713  -0.06337   0.13983  -0.15784  -1.13296 
23.454   1.03454   0.81539   0.60505   0.24467  -0.12634   0.01409 
23.353  -0.25307   0.18420   0.37729  -0.66179   0.27085  -0.53863 
23.252   0.16251   0.98100   0.20884  -0.85237   0.19770  -0.49407 
23.203  -0.32702  -2.30959   1.84282  -0.09127  -0.56837  -0.05708 
23.007  -0.35144  -1.37190   0.82268  -0.18439   0.18008  -0.64912 
22.959   0.42503  -0.11684  -0.45523   0.45091  -0.39377   0.21667 
22.675   1.16167  -0.64830  -1.05351   0.17466  -0.22930  -0.32922 
22.582   0.44002  -0.54599  -0.40327   0.26219   0.13751   0.37193 
22.400   0.12719  -0.76595  -0.29728   0.61722   0.77965   0.13427 
22.091   0.82166   1.94238   0.90375   0.13344   0.50492   0.31619 
21.752   0.03574   0.14815   0.24208   0.59850   0.51982   0.51282 
21.587  -0.22853   0.41472  -0.04575   0.60550   0.09718  -0.14552 
21.426   0.60680   0.36319  -1.61653  -0.07598   0.05038   0.21730 
21.347   0.25174   0.43009   0.06286   0.29217  -0.57331   0.57717 
21.152   0.44469  -0.48451  -0.65868  -0.25773   0.53402   0.55141 
21.038  -0.65260   1.12202   0.79741   0.10074   0.19458   0.66699 
20.925  -0.49805   0.26396  -0.16848   0.02127   0.00283   0.10654 
20.850   0.08276  -0.43256  -0.01518   0.60509  -0.28249   0.25216 
20.777  -0.39771   0.46406   1.86150   0.13962   0.53783   0.02231 
20.740  -0.22784   0.31108  -0.71431   0.03975  -0.74631   0.53441 
20.632   0.21418  -0.14487   0.23921   0.41386  -0.22672   0.45043 
20.596   0.82329  -0.03182   0.73101   0.15625   1.02034  -0.08046 
20.281   0.50520  -0.06449  -0.92972  -0.16720  -0.05839  -0.21814 
20.212   1.71728  -0.92392  -0.60443  -0.49854   0.01327   0.48843 
20.078  -0.43407  -0.56606   0.77272   0.31426  -0.27603  -0.13089 
20.011   0.06668   0.03355   0.17732  -1.07170  -0.38467  -0.35214 
19.945  -0.63140   2.08773  -2.25927  -0.24762  -0.10862   0.17921 
19.656   1.30183   1.78421  -1.12845   0.07286   0.07206  -0.15750 
19.625  -0.44717  -0.13745   0.60279  -0.03699  -0.16992   0.40424 
19.593   0.11668  -0.15085   0.36044   0.44093   0.19677   0.20882 
19.531   0.56059   0.37839  -0.17465   0.31471   0.31897  -0.09339 
19.439  -0.06970   0.39127   0.34092  -0.45290   0.04422  -0.03467 
19.082  -1.21737  -0.17726  -1.33245   0.07840  -0.46200   0.34190 
19.053  -0.24598   0.92105  -0.02249   0.25811   0.08803  -0.86813 
18.995  -0.08067   0.03117  -0.83940   0.21232  -0.15592  -0.06546 
18.938  -0.56160  -0.16390  -0.04933   0.15363   0.47739   0.55159 
18.825   0.19405  -0.15280   0.53388  -0.89341  -0.44031   0.19762 
18.797  -0.29723   0.15066   0.09760  -0.45171   1.00200  -0.03224 
18.769  -0.14582  -0.45760  -0.47023  -0.26133   0.61301  -0.47155 
18.659   0.44593   0.13463  -0.21327  -0.70696  -0.85418   0.35475 
18.632  -0.31338  -0.18101  -0.41296  -0.22658   0.76289  -0.49889 
18.578   0.64945   0.13201   0.25979  -0.17097   0.34712   0.30704 
18.551   0.18018  -0.28723  -0.66777   0.20448  -0.40457   0.19329 
18.391  -0.33968   0.62365  -0.77646  -0.49691  -0.01525  -0.04334 
18.287   0.50120  -0.02582   0.33022   0.33704   0.11464   0.16476 
18.261  -0.13486  -0.19687  -0.48799   0.24271   0.28883   0.65553 
18.033   0.52161   0.33340   0.03143   0.78342  -0.23384   0.32976 
17.984   0.20103   0.02424   0.06744   0.75279   0.52390  -0.34888 
17.935  -0.24141  -0.06449   0.35138  -0.78094   0.65361   0.70920 
17.910  -0.47124  -0.38685   0.20493  -0.23170   0.36549  -1.07365 
17.886  -0.59337   0.43939  -0.42052   0.00432   0.24550  -1.05228 
17.741  -0.25862  -0.44306   0.65559  -0.57509  -0.26068   0.28055 
17.718  -0.58847   0.71928  -0.23095  -0.15683  -0.37515  -0.65061 
17.600  -0.57241   1.33452   0.39405   0.48652   0.24641   0.11067 
17.577  -0.29829   0.15900  -0.44079  -0.18016  -0.44657   0.40876 
17.531   0.65989   0.05650   0.79439   0.22621   0.44075   0.04774 
